market_volume,noise_orders,risk_score,scenario_id
1809,1,149.9403756335089,0
578,3,150.58877766069548,1
1336,5,148.72409225494778,2
1056,4,149.12185265775568,3
656,4,149.86904854976154,4
1220,1,149.34233984390477,5
1622,3,149.4152735264108,6
636,3,148.8462591419297,7
1518,3,149.32432432432432,8
998,5,148.57464954416233,9
1049,1,149.54544552293615,10
1763,2,148.6835632342234,11
781,4,148.09816070835205,12
685,2,149.94060346875742,13
1646,1,149.61465119974577,14
587,3,148.72677692111512,15
1689,2,151.00343857455454,16
959,1,149.06564209944096,17
1130,3,149.59010793824294,18
1512,2,149.22315548720377,19
1678,2,149.24403915995578,20
1411,4,148.61290955464,21
1475,1,149.22637066935755,22
1349,3,148.77686080636585,23
645,3,148.2669280183205,24
653,1,149.50001984048254,25
1455,5,147.9830600247525,26
1901,1,149.94026760114684,27
742,3,149.59944236093384,28
1163,5,149.4645509262878,29
650,5,149.04706339945545,30
1073,1,149.45266330861062,31
1750,5,148.48411421482155,32
1423,5,147.7487574310496,33
1258,4,148.65790248209555,34
1017,3,151.66666666666669,35
884,1,149.18319719953325,36
797,4,149.68027931426778,37
1056,4,147.87101423868793,38
1536,4,149.3592506956147,39
796,4,148.19896421117724,40
1516,4,149.94064107637513,41
1998,3,148.6868370582019,42
908,5,148.40783246795547,43
563,5,147.4784428952776,44
798,2,149.00855709648863,45
1314,2,149.29239720103783,46
666,5,147.88432770578748,47
917,1,149.3265993265993,48
671,5,148.2537316322382,49
1362,5,148.18266182043152,50
1512,5,149.4250982365808,51
1619,2,149.2288728922197,52
1589,5,149.94111180904522,53
1258,3,149.10491706742567,54
898,4,149.0182901887454,55
1229,5,148.3287391329491,56
1327,4,149.38902204235592,57
798,4,148.61122024043374,58
1690,2,149.25697929736512,59
803,5,149.00175815588983,60
1962,4,149.56356661969625,61
540,2,149.94025213598616,62
1711,3,148.16617569597534,63
1955,4,148.44222773146973,64
1004,5,149.40812326560712,65
767,1,149.5375424250243,66
1072,2,149.86332032565417,67
1294,5,149.10632935930988,68
935,3,149.3002181903957,69
1485,5,148.18011403577287,70
562,3,149.94083890433652,71
993,5,149.25962101973042,72
1080,2,149.27610556629452,73
1728,5,148.54646065117004,74
991,2,151.25541125541125,75
1956,2,149.2283339928769,76
1085,2,148.74768637025952,77
1554,2,149.12852750523862,78
678,2,149.74224760091997,79
1544,2,149.3659599762235,80
607,3,150.97222222222223,81
1068,5,149.4750241765182,82
997,2,149.40929273707582,83
1672,1,149.74343165138527,84
591,5,149.30611364839172,85
984,4,149.1643892176717,86
1700,5,147.8921228921229,87
1564,4,148.86058850016641,88
1146,3,149.67416355400144,89
1344,2,149.74961061493266,90
1511,3,148.59722952831842,91
1491,5,149.41499941499941,92
1871,3,149.0939531219224,93
1679,4,150.51907442151347,94
648,2,149.72566248533883,95
896,4,148.8579224322744,96
503,5,148.4430467664763,97
694,1,149.18123566173563,98
1559,1,149.21459235958613,99
1693,4,149.65809950483376,100
876,1,149.9403756335089,101
1418,1,149.06564209944096,102
1365,5,148.98440685865197,103
773,2,149.85599305610353,104
1739,2,149.4705349761839,105
1326,1,149.6324625012417,106
645,1,149.78312342068088,107
1168,4,148.58922290666717,108
1947,4,148.98449400460885,109
1301,2,149.12277266496966,110
1504,1,150.2,111
916,4,148.81096253557365,112
1689,5,148.06528924022496,113
1498,4,149.7707994593218,114
1752,4,149.60373509102322,115
1901,2,149.45587887390585,116
1307,2,149.07187993680884,117
750,5,147.64733196610302,118
1561,2,148.9967340073925,119
609,2,149.89527140514159,120
1608,5,148.74697005238878,121
695,3,148.0008989115354,122
534,1,149.68395316941303,123
866,5,148.7830441364854,124
968,1,149.04803286459156,125
735,5,147.90743999845282,126
1023,5,148.90470759428953,127
1206,5,149.15994623655914,128
1650,4,148.792384548816,129
1221,2,149.9407302038881,130
1163,4,149.48225585685663,131
509,4,149.54577630958,132
1409,2,150.78104138851802,133
560,1,150.1219512195122,134
943,4,148.072265625,135
730,5,147.46366983142804,136
905,1,149.94053989772863,137
795,1,149.9403008835469,138
1689,1,149.94043246033795,139
1425,3,149.313216632788,140
721,1,149.9579831932773,141
1065,1,150.4954954954955,142
731,2,149.51684152401987,143
1201,4,148.5703079035105,144
1219,4,148.86745951021047,145
1947,2,149.67737466104546,146
1490,3,149.39014793830657,147
652,2,149.7125644761192,148
1580,5,149.0728194804692,149
1264,3,149.10373573902663,150
1650,4,148.93542621804335,151
1734,1,150.04132231404958,152
1719,4,149.31226334904568,153
1829,5,149.60932944606412,154
1605,1,149.94064459964784,155
608,5,148.42210621344742,156
1205,4,148.43234484508912,157
593,2,149.22736008157824,158
637,3,148.6292209963223,159
1289,4,149.1479013858959,160
685,1,149.7057537079009,161
1312,1,149.94051867713537,162
1389,4,149.69777916431065,163
517,1,149.6938613231552,164
1536,5,149.02241203667424,165
1071,5,148.41697867965158,166
1640,1,149.94040050858234,167
1287,1,149.2224442553865,168
1656,3,149.33954706215684,169
1311,5,149.6094674556213,170
811,4,148.56460259498095,171
1559,3,148.95272584907508,172
590,3,149.89135587863464,173
925,2,149.53885128448718,174
1087,2,149.94055168040583,175
1115,2,149.0636777638191,176
1929,3,149.44760039177277,177
977,2,148.78269776237,178
1002,4,149.28828390860477,179
720,2,149.1263440860215,180
1180,3,149.07291747989694,181
630,2,149.383588535532,182
1933,2,151.60714285714283,183
1491,1,149.94043482577186,184
1317,3,149.16572010497043,185
1924,2,149.04197259413405,186
1582,2,149.07766131094024,187
1943,2,149.19353256283972,188
544,2,149.6001733238793,189
